,qid,Q,A,Gold_A
648,bfddbcc17188eb47e9a7958430c3cb8f,There are horned animals on which of the earthly branches of the zodiac of thirteen Buddhas?,      十二生肖.,"['Goat (zodiac)', 'Ox (zodiac)']"
649,8377b85ac302f4bdd5360bd57ad3c9d9,is a mule a cross between a donkey and a horse,      	Yes.,['yes']
650,321bd4fbdc89df59dcf94a502bd1425b,There is a horse on the logo for which winner in the champions of Eredivisie for women?,      	Feyenoord.,['FC Twente Vrouwen']
651,9a6cf44acc5ba711bc6577cf1beb957f,Which UFC events from 2010 have a poster featuring only two men?,"      	UFC 119, UFC 120, UFC 121, UFC 122, UFC 123, UFC 124, UFC 125.","['UFC 116', 'UFC 113', 'UFC 122', 'UFC 114', 'UFC 115', 'UFC 124']"
652,55dc90e2bcf722bb4e071dc0d2a7d483,which luxury hotel has a dancing fountain that is the part of the resort that owns 50 percent of citycentre in las vegas,       Mandalay Bay.,['Bellagio']
653,69a579385d796e64f7fe363bebf97b1d,when are the oakland raiders going to las vegas,     ..............................................................................................................................................................................................................................................................................,"['March 27, 2017']"
654,c8326ac56343a3a395732b94a4a99995,"Of the most capped players in the national football team in England, who has African heritage?",      	John Obi Mikel.,"['Ashley Cole', 'John Barnes (footballer)']"
655,3b0d437b62cc6bb2ce2037dc2908ccd5,Which players from the team whose jerseys feature a rooster had a disciplinary recored in the 2014-15 Arsenal F.C. season?,"       Santi Cazorla, Mesut Özil and Alexis Sánchez.","['Olivier Giroud', 'Laurent Koscielny']"
656,db32e498bb07c9b54a377c89701989bf,There is an anchor on the logo for which runner-up in the yearly results of the Catamount Cup?,      	Cascadia Cup.,"[""Lake Superior State Lakers men's ice hockey""]"
657,ef97a6ca116a226b8e2e1deaba4b5004,"Which Champion(s), in Yearly results of Catamount Cup, logo has an anchor in it?",      	University of Vermont.,"[""Lake Superior State Lakers men's ice hockey""]"
658,21943c11e79b7f2fdad7fe97f5319132,Which drivers have short blonde hair in the entry list of the 2019 Rally Australia?,   ,['Esapekka Lappi']
659,3f8018a3d5247b1860fdd79ed1423f10,"Which Team(s), in Individual game highs of 2016–17 EuroLeague, have a man's face on their logo?",      	CSKA Moscow,['Olympiacos B.C.']
660,a1c1cfe40f268b473b8014e1fc6187f1,Who is wearing a necktie of the actors who have won the Santosham Best Actor Award?,   ,['Chiranjeevi']
661,3444052221c1104c977a4653988d44f1,There is a train on the poster for which title in Nona Gaye's filmography?,      	The Girl on the Train.,['The Polar Express (film)']
662,c900515e6697b67c56c6b8b106070ce9,There are rocky mountain peaks around a lake at which location that is listed as a department in the 1985 Bolivian general election?,   ,['La Paz Department (Bolivia)']
663,f274c4ee4d14c8f86d19295f7cdf0f50,Which player who plays for a team with a logo featuring a lightning bolt made goals for the Calgary Flames?,      	Mikael Backlund.,['Gary Roberts (ice hockey)']
664,39d1230b9456528d49ced799393985d3,There is a flaming torch on the logo for which team that is listed in the scoring leaders of the QMJHL 2013-14 season?,      	BCHL.,['Gatineau Olympiques']
665,38cef4a0c3db317df04bc8f674ee27f9,"Which Circuit(s), in Schedule of 1974 IMSA GT Championship, took place on a track that is shaped like a violin case?",      	Mont Tremblant  	Mont Tremblant 	Mont Tremblant 	Mont Tremblant 	Mont Tremblant 	Mont Tremblant 	Mont Tremblant 	Mont Tremblant 	Mont Tremblant 	Mont Tremblant 	Mont Tremblant 	Mont,['Road Atlanta']
666,6e7ce1d17d1baa8e849f29dd56fd09de,the primary colors of pigment are cyan yellow and magenta true or false,      	True.,['no']
667,b56adcdcb8bf4fa9fd52fa7695df24d9,What award earned by athletes at a university and some schools did Charles Hooman earn?,      奧斯汀奧斯汀奧斯汀奧斯汀奧斯汀奧斯汀奧斯汀奧斯汀奧斯汀奧斯汀奧斯汀奧斯汀奧斯汀奧,['Blue']
668,e0deff81aa1d06d3ddc5800266aea781,What yellow assistance item is located just inside the door of the Gillig Low Floor?,      	Dash.,['handrail']
669,0143eb8d4dd378d8d7dbe275c5552858,What is the silver thing that is latched onto the tank in Diesel fuel?,      	Diesel fuel.,['lock']
670,e54a09043c4aae1aa1419aba4e72e771,What type of person does Prime Minister of Hungary and Viktor Orbán have in common?,      	Conservative.,['leader']
671,a07677b3623a49f60974ff255758f1eb,who did not have a brain in the wizard of oz,      ivan bozovich.,['Scarecrow']
672,f0fbe1bc39e776d8eff1e44aff53b0d6,"Games for Windows – Live or GFWL (trademarked as Games for Windows – LIVE) was an online gaming service used by ""Games for Windows""–branded PC titles that enables Windows PCs to connect to Microsoft's Live service, some games allow for cross-platform play, such as which first-person shooter video game, developed by FASA Studio for Xbox 360 and Windows Vista?",      	Gears of War.,['Shadowrun']
673,65bdc87446b7add98730bbd761375927,UROVESA is best known for the production of what High Mobility Multipurpose Wheeled Vehicle?,      Humvee Humvee Humvee Humvee Humvee Humvee Humvee Humvee Humvee,['Humvee']
674,6e61b72ec7af864bbfd68fecb22b8ae0,is there a sequel to the dark knight,      	No.,['yes']
675,d773cd8663f29f3b37171de9f2229574,when did the cubs win the world series,     ................................................................................................................................................................,['2016']
676,5737efac5151d2e447180b5f81cde6db,where does the eurostar go from in london,      ireland.,"['Marseille', 'Lille', 'Brussels', 'Paris', 'Lyon', 'Avignon']"
677,116448def46190bea57cfcf95f58b35d,In what year was the National Hockey League team founded tht Karl Friesen played for?,     ........................................................................................................................,['1974']
678,01f5dfc6c899a74d8d79e7cbf8d30f8d,how many times did west indies won the world cup,     ..........................................................................................................................................................................................................................................................................................................................................................................................,['twice']
679,00c6daf76670c32dccf8effff5b552a7,who sings are you gonna go my way,   ,['Lenny Kravitz']
680,3fd7133d8fdb3041e623eadfaa227d2d,who does kp play for in the big bash,      	Kings XI Punjab.,['Melbourne Stars']
681,18969f961188c4fb21d1d700f438bb27,i'm a celebrity get me out of here australia host,      ian thorpe.,"['Julia Morris', 'Chris Brown']"
682,57e138f5cd33f06920fba3e7f9f6bec4,"Wilma Glodean Rudolph, was an American sprinter from Clarksville, Tennessee, who became a world-record-holding Olympic champion and international sports icon in track and field, due to the worldwide television coverage of the 1960 Summer Olympics, Rudolph became an international star along with other Olympic athletes such as which American former National Basketball Association player who played for the Cincinnati Royals and Milwaukee Bucks?",      	Wilt Chamberlain.,['Oscar Robertson']
683,4e007d4e1c2a4c6ce5c214237a17d576,is the et ride still at universal studios hollywood,      	Yes.,['no']
684,606ea4acfeb1ae629c0165ff83f5b086,"The composer of the opera ""The Zoo"" has composed how many major orchestral works?",     ......................................................................................................................................................,['13']
685,4844cfb8e6e674c71eb48249a108a635,when was the last time united won a trophy,     ..................................................................................................................................................................................................................,['2016–17']
686,901f9519de532e82c4b465c73783bfa9," ""Beware My Love"" is a song used as the B-side of a single that included the No. 1 easy listening hit in the U.S. that was certified Gold by who?",      	The Contours.,['Recording Industry Association of America']
687,0da047394e1af2044b0d2e1f7a0a95ef,who won the space race to the moon,      	John F. Kennedy.,['US']
688,2de73bedb45515620a97aa06f326c974,"La Tante DC10 Restaurant, known locally as The Green Plane, is a public private partnership restaurant established in Accra, it operates from which defunct Ghana Airways three-engine wide-body jet airliner manufactured by McDonnell Douglas, and features two turbofan engines mounted on underwing pylons and a third engine at the base of the vertical stabilizer?",      	DC-10-30.,['McDonnell Douglas DC-10']
689,b35c5df19302eed7f6e23a0bf447506d,who did nbc send to the 2014 winter olympics,      ivan ljubicic.,"['Tara Lipinski', 'Johnny Weir', 'Terry Gannon']"
690,60e3cce6897296b96a9f43f339a3c88b,who sang give me some sunshine in 3 idiots,      urs.,['Suraj Jagan']
691,5219198c4be50e67c67c373f1afdf797,"in Filmography of Supriya Shukla, who is the heroine of the film that cover has a man with two women around him on i?",      	Shirin Farhadi,['Sunaina']
692,637bbcd98fa4d4e74517674514eac3e8,has hungary ever been in the world cup,      	No.,['yes']
693,76c0580c7507e75cb7de751d37693604,where is the actress that played wonder woman from,"      rome, italy.",['Israel']
694,07109f0009dce97e4553878495449160,who does the voice of ryan reynolds on family guy,      ivan moody.,['himself']
695,285df8d27379c272d395ae0850666588,"Was ""Seventeen"" or ""Cosmogirl"" published first?",      	Seventeen.,['Seventeen']
696,865d90fb32ed0ff13f45fecee9c5ffb5,where is the fabulous las vegas sign located,"      	Las Vegas, Nevada.",['in the median at 5100 Las Vegas Boulevard South']
697,5069a3cf7cfd2948e5da4e236866c1d2,What is the British biographical musical drama film that Thomas Brodie-Sangster played Paul McCartney in?,   ,['Nowhere Boy']
698,f0973ae3fc44e688af54af5ecd0918b3,The artist who sang let it be with the lead vocals has what item in front of them?,      	The Beatles.,['microphone']
699,a9fedcca263fee4c0ed54d472565ace1,"Rich Ross is Group President of Discovery Channel, Animal Planet, Science Channel and Velocity, when Ross was named Chairman of Walt Disney Studios in which year, he became the first openly gay studio chief?",      	2013.,['2009']
700,d75ac37aab8ea19dce3109befe2c42c6,The representative of Portneuf in the Legislative Assembly of Quebec from 1867 to 1878 was from a province in which country?,      	Canada 	.,['Canada']
701,63338d175b41561e9299934275d29e13,where does the c and o canal start,     ..............................................................................................................................................................................................,"['from Washington, D.C., to Cumberland, Maryland']"
702,b7df304b504f27a67058c9abd88787b4,"Maggie Simpson in ""The Longest Daycare"", or simply The Longest Daycare, is an American traditionally animated 3D comedy short film, released in which year, the short originated with ""Simpsons"" producer James L. Brooks, who enlisted long-time veteran of the series, David Silverman, to direct the film, an American animator best known for directing numerous episodes of the animated TV series ""The Simpsons""?",      	The Longest Daycare.,['2012']
703,579f2e1e936cd9d8209c245d02c64ae8,what beatles album is named after a firearm,      	Help!,['Revolver']
704,dd150ecf0403efc5a0bbeca8b288b54c,"Communist and labor activist James Henry Miller wrote and performed ""The Manchester Rambler"" under what stage name?",      	James Henry Miller.,['Ewan MacColl']
705,fd34f323c804b4ad17f5b09ecd6e619c,who wrote the song the first time i ever saw your face,       Niall Horan.,['Ewan MacColl']
706,238dd5cbe3281cad467e37c718e806cb,where was the hallmark movie wedding march filmed,"      rome, italy.","['British Columbia', 'Vancouver']"
707,74e3f341c5792ddc51267ee8386e35fe,"Which conference does the university from CFL Draft of 1999 BC Lions season with a logo featuring the sun, a key, and a palm tree play in?",      	Sun Belt Conference.,['Atlantic Coast Conference']
708,0ed900443d83574c5050dd9fcf583a52,"Among schools involved in the 1999 BC Lions' Offseason CFL draft, where does the school with a palm tree, sun and key on their logo play football?",     .......................................................................................................................................................................................................................................,['Hard Rock Stadium']
709,0cd592247c8cc79815c9992c1f905fb2,when & where did the 1st supreme court sit in indiana,"      ivanhoe, indiana.","['in Corydon on May 5, 1817']"
710,ccab4dc57019d3e03961f845e7e6cea3,What color besides blue makes up the logo for the 2011 New Hampshire Wildcats football team?,      	Blue.,['white']
711,837cef2e912afee9d7cfa5105b41c9e8,George Lowe was the voice of the main character on the show that was a spin-off of what variety show?,      	Looney Tunes.,['Space Ghost Coast to Coast']
712,c2cb5c0014e3c47fa4672e91c0d96281,who was the publisher of the fault in our stars,"      	Alfred A. Knopf, Inc.",['Barnes & Noble']
713,dd850aaf84597809f32839033d46e5e4,"""(You Drive Me) Crazy"" is a song recorded by American singer Britney Spears, it was featured on the soundtrack of the 1999 teen romantic comedy film ""Drive Me Crazy"", a teen romantic comedy based on the novel ""How I Created My Perfect Prom Date"" by Todd Strasser, released in which year?",      	1999.,['1999']
714,c1f13aa61f87752fa5bc6b95a9c087a9,The artist with long blonde curly hair that won Record of the Year in 1999 has what profession in common with Diamond Duggal?,      	Singer,['songwriter']
715,212f128227648a541e1bd2170084d0eb,The actress who plays Fish Mooney in Viper also appeared in what Eddie Murphy film in 1996?,      	The Nutty Professor.,['The Nutty Professor']
716,9bdbdd8480e11bf72484a7e69b7339fe,"Lima is the third-largest city in the Americas, behind São Paulo and another city that consists on how many municipalities?","      	Lima is the third-largest city in the Americas, behind São Paulo and another city that consists on how many municipalities?",['sixteen']
717,d5042f5c6ffb9d4d640bd1ea12d3fccd,who plays uncle iroh in the last airbender,      ian somerhalder.,"['Greg Baldwin', 'Mako Iwamatsu']"
718,41fce9ab797b34a179d16145c49e15bb,short film in fiction award in 62 filmfare awards 2017,      romeo and juliet.,['Chutney']
719,c21d11ccf8b57d5a428ff56f8201340b,who owns the means of production in capitalism,   ,['private']
720,8cb86366ab0b433e668e8318097920a1,who played mr wilson on the original dennis the menace,      ivan moody.,['Joseph Sherrard Kearns']
721,627f15b091d1b5ff9df3c9968857aef2,"Going Solo is a memoir by Roald Dahl, first published by Jonathan Cape in London in 1986, he eventually joined the war as a squadron pilot in the Royal Air Force, flying which British single-seat fighter aircraft of the 1930s–1940s that was designed and predominantly built by Hawker Aircraft Ltd for the Royal Air Force (RAF)?",       Hawker Hurricane.,['Hawker Hurricane']
722,fa387bc480d5ec4098eef8cd9fc33ab7,what are the children's names in the cat in the hat,      ernie ernie ernie ernie ernie ernie ernie ernie.,"['her unnamed brother', 'Sally']"
723,8d1dc25b9adc0b953c34ab0e5762865e,who plays alice in alice in wonderland 2016,      ursula.,['Mia Wasikowska']
724,b01c12d1855bc81256b15a63a6059e27,"The Balfour Building is located at the Northeast corner of Spadina Avenue and Adelaide Street in downtown Toronto, Ontario, Canada, it was named after Arthur J. Balfour, author of which public statement issued by the British government during World War I announcing support for the establishment of a ""national home for the Jewish people"" in Palestine, then an Ottoman region with a minority Jewish population?",      	The Balfour Declaration.,['Balfour Declaration']
725,dd401fffb66910ca0871563a9c707bd3,where is the roman forum located in rome,      rome.,['at the center of the city of Rome']
726,6c4c55eed6298cfa992c7e90b6002ea1,"Just Tell Me What You Want is a 1980 American comedy film, directed by Sidney Lumet, stars include in it, is which American actor and comedian known for his biting wit and often angry humorous rants, and became well known as a Jewish comedian and satirist?",      	Woody Allen.,['Alan King']
727,718186c47f39b7fee2653cf964b543c0,how many times have the carolina panthers been to the super bowl,     ..............................................................................................................................................................................................................................................................................,['two']
728,b07b21de209a6dbb3c69f42a1f2044e5,How many jerseys were available for St. Louis Rams in season 2001?,      	8.,['two']
729,5bb104f5d77605a1ccab6a516b3cd5ca,"Anthony Waye is a film production executive, he worked on a number of James Bond films, including which 1981, twelfth spy film in the ""James Bond"" series?",      	A View to a Kill.,['For Your Eyes Only']
730,f141b65dbfc54bcb0ff55f2cb04f3fe3,"Amber Calling are an Australian pop punk and emo band from Adelaide, which formed in 2005 as 919, during their career they have supported shows by Panic! at the Disco, an American rock band from Las Vegas, Nevada, formed in what year?",      	2005.,['2004']
731,a01813f4bfaf142f7586ac611ddc2f37,when do the raiders become the las vegas raiders,     ..............................................................................................................................................................................................................................................................................,['the 2020 National Football League (NFL) season']
732,5dddf988aa077a029a2f39539b29b9c9,"ACF Fiorentina returned to Serie A, following a two-year absence after the bankruptcy of the previous incarnation of the club, which Spanish retired footballer who played as a forward, were among the highly rated players to sign up for Fiorentina, either permanently or on loan?",      ivan Cordoba.,['Javier García Portillo']
733,3a8ceb1b385cc20e859c0f77c11ab845,What brand of shirt is Nicola Caccia wearing?,      	Puma.,['puma']
734,c8e00aed4cf5778b2a0c4c58c539c3f5,What is the center object pictured here that is related to  Goran Vlaović?,      	A basketball.,['medal']
735,736a653aabf445677b747ac892dfe7b9,What color is the tie that Kennet Andersson is wearing?,      	Blue.,['black']
736,d4f93aab317863a027b7924d7cb326c9,What now defunct college is in the city and state that James Coburn moved to when he was seven years old to live with his grandmother after his mother died of cancer?,"       University of California, Los Angeles.",['Chester College']
737,cc274d276767e698483ae996c2dfc83b,what group was not part of the new deal coalition,      	United Australia Party.,['conservative']
738,427f9009e9e58668d47f900f9b7e443d,"The proposed autonomous region within the Philippines, originating from an independence movement to seperate the Muslim majority-Moro areas, is now called what?",      	Bangsamoro.,['Bangsamoro']
739,7e506b98bcb39bcb42a1722d8ec8fb60,who is the injured man in the open boat,     ..............................................................................................................................................................................................................................................................................,['the captain']
740,ef42344bbef07d5efded6085839bd223,"Indra, is a Vedic deity in Hinduism, a guardian deity in Buddhism, and the king of first heaven called ""Saudharmakalpa"" in Jainism, his mythologies and powers are similar, to those of the Indo-European deities such as which sky and thunder god in ancient Greek religion, who ruled as king of the gods of Mount Olympus?",      	Zeus.,['Zeus']
741,c81c4000f886ed9ebe29f8989088575e,What religion that features an upraised palm is practiced in the Jains Caste system in India and in nigeria?,      	Jainism.,['Islam']
742,59e9d2f259f1c5b488d8d7f8e331ed3f,The USS McClusky is a Navy ship named for a United States Navy aviator during World War II who is credited with playing a major part in what battle?,      	Battle of Midway  	.,['Battle of Midway']
743,a1775ed08aaa2eaa8bb14ef7100182cf,when can the coast guard be transferred to the navy,"      	Yes, the coast guard can be transferred to the navy.","['by the U.S. President at any time', 'by the U.S. Congress during times of war']"
744,69e4635672d59d0f8e880890a44f3c36,does north carolina get cold in the winter,"      	No, North Carolina does not get cold in the winter.",['yes']
745,7a7e7c45957acd1b1b04f6a82e177f03,"Agnes Wenman, Viscountess Wenman (died 1617) was an English Roman Catholic woman, under suspicion of involvement at the time of which 1605 event, that was a failed assassination attempt against King James I of England and VI of Scotland by a group of provincial English Catholics led by who?",      	Guy Fawkes,['Robert Catesby']
746,52b278175abca98b98aa909ebce16910,"Debbie Van Kiekebelt won a gold in the pentathlon in what July 30 to August 13, 1971 sporting event?",      	1971 Summer Universiade.,['Pan American Games']
747,9083343a140a0533e8f7b1c62d960972,Who was the husband of the the English novelist whose work provided the basis for a series of films which includes Frankenstein Meets the Wolf Man?,      	Percy Bysshe Shelley.,['Percy Bysshe Shelley']
748,42fa5284ecaec8c3d068f4c9c2f237a0,is it true that paid search marketing is completely driven by google,      	Yes.,['no']
749,c87723c2eaf721f525bc742223eaf907,when did cleveland last won the world series,     ..............................................................................................................................................................................................................................................................................,['1948']
750,40268a8bd5ecc9705c7a19da161f44d1,"What was the nationality of the person who wrote the text of ""On the Death of the Righteous""?",      	Russian.,['English']
751,a613d68dc415323ddd3095b214e4550f,"Who is a Brazilian footballer who last played for FC Goa of the Indian Super League as a central defender, who scored the winning goal  six minutes from full-time in a football match to determine the winners of the 2009 FIFA Confederations Cup?",       Ronaldinho.,['Lucimar Ferreira da Silva']
752,22bdbafe1d281d69cc27dadfa06b4c32,"Jessi Ruth Klein, is an American comedy writer and stand-up comic based out of which city, Klein also provided the voice of Lucy in the animated pilot for Lucy, the Daughter of the Devil is an American computer-animated television series aired by the Adult Swim programming block of Cartoon Network?","      	Los Angeles, California.",['New York City']
753,5f5112239c922d29a55b9934302a3bca,who wrote the song it's only make believe,     ..............................................................................................................................................................................................................................................................................,"['Jack Nance', 'Conway Twitty']"
754,c42f1434a3dd287eb970d4eec96d8760,what battle occurred in response to texas declaring its independence,      	Battle of Gonzales.,['Battle of the Alamo']
755,1b620731b11374132b0256683b3a5320,does lex luthor know who superman is in smallville,      	No.,['yes']
756,60b7ceda5a8d3d88fdb74330cd556434,how many ivy league schools are there in the united states,     ..........................................................................................................................................................................................................................................................................................................................................................................................,['eight']
757,601f7047c3fef5107f4b8cd74159a30b,In between Daldøs and Masterpiece which one was invented by Joseph M. Burck?,      	Daldøs.,['Masterpiece']
758,adb3e2d358c759f300df0c546a73789d,how does a plane wing create lift which physics concept applies,      	Centrifugal Force.,"['wing exerts a downward force on the air and the air exerts an upward force on the wing', 'force']"
759,ff4e4666b70c68522ee408cd874369d3,What kind of hat is the Leigh Centurions mascot wearing?,      	Leather.,['galea']
760,bf78b88d5a21f31e0851b07066c76442,name a city that has hosted winter olympics,      北京.,['St. Moritz']
761,fd6517ed27853e881273639af8226f24,Anna of Cilli and her daughter Hedwig Jagiellon were 15th-century figures in which European country's royal family?,      	Poland.,['Poland']
762,fc7115ae36b9554abf57121d62b6b3af,who is the bad guy in the movie gone,     .........................................................................................................................................................................................................................................................................................................,['LaPointe']
763,3c5ea34b03a95fb09b8a945321765516,who was england manager in last world cup,      	Gareth Southgate.,['Gareth Southgate']
764,6f6bf52774b8dce1895109d4b061f49f,On which network did a sitcom directed by Jeff Melman and starring Patricia Heaton premiere? ,      	CBS.,['CBS']
765,16025e7d083a5036f26ef5f3f3bfa489,who are the main characters in the tell tale heart,"      	The main characters in the tell tale heart are the narrator, the old man and the old woman.","['The victim', 'an unnamed narrator']"
766,dfea56329719f9221569191efa791df4,Michele Ferrero created a spread that was first introduced in what year?,     ..............................................................................................................................................................................................................................................................................,['1965']
767,0d21c0f0123e225fd3341324ff69914b,"Is Tennessee Titans' Corey Davis the older or younger brother of Titus Davis, also a wide receiver?",       Titus Davis.,['younger']
768,59c9e37e809729bbb5875ccf5f17f486,who plays elizabeth mccord's brother on madam secretary,      ian mcshane.,['Eric Stoltz']
769,07cf3cfe1c7ec3b53bb485d3bcee08c7,xbox 360 s model 1439 hard drive size,      000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000.,['500 GB']
770,ef7fcefe1d46db25ecda930a2f856a66,How many people are playing the board game on the table?,      	Two.,['four']
771,e34088f971d314c1b7e432e27ec0ed55,who is hosting the 2018 american music awards,     ....................................................................................................................................................................................................................................................................................................................................................,['Tracee Ellis Ross']
772,13590f9f41be22dcce2ad1dafc163e1f,"WHo is an American heiress to the fortune of Wal-Mart Stores, and the daughter of at one point the richest American and the eleventh-richest woman in the world?",      	Kirsten Dunst,['Alice Louise Walton']
773,2d3e0fa807f8fdbc71b48896b9e228d6,which company is bigger home depot or lowe's,      	Home Depot is bigger.,['The Home Depot']
774,68c5ec85238f00efcff8dd44096114e2,when did officer and a gentleman come out,      	1986.,['1982']
775,24c7587760a5f917b383d144aabea6ae,the shawshank redemption was it a true story,      	No.,['no']
776,764ec30ce4b2d7d4d4f9ad38a0663e32,"Who was the director of the 1989 comedy film starring the actor who played Andy Dufresne in the prison drama film ""The Shawshank Redemption""?",      	Frank Darabont,['Thomas Schlamme']
777,d222d3a47e29c2b6a02ef6ffd62e7077,what was the poster on the wall in shawshank redemption,      romeo and juliet.,['Rita Hayworth']
778,147a7d75411321f376eda48142798949,"What slogan does this Swiss watchmaker and his company carry, who purchased 80% of the Minsk Watch Plant in 2010?",     ..............................................................................................................................................................................................,['Master of Complications']
779,1afabde176377143c6118e3828837ce9,lee jong suk and kim woo bin drama together,      하루하루.,['School 2013']
780,7eafbe088b59f9584604a6a5c33cc219,"Which Norwegian cross country skier has more Olympic gold medals, Øystein ""Pølsa"" Pettersen or Petter Northug Jr.?",       Øystein Pettersen.,['Petter Northug Jr.']
781,1a9a00b3e05161457931fa7886b57bbe,whats the name of the main robot in the disney movie big hero 6,      ボーイ・ハガード・ヒーローズ.,['Baymax']
782,068c78a4cb8acb381d148213bfe9ca20,who recorded the song stuck in the middle with you,      	Stealers Wheel.,['Stealers Wheel']
783,1442320bb8368c9d26d31d0428ffe691,who was the 1st batsman to score century in ipl,      	.,['Brendon McCullum']
784,a9d7450778a447240d6a876bfb8183d2,is sia in the my little pony movie,      	No.,['yes']
785,12058be5985c3b0d7493ad5232ad18d9,most runs scored in mlb game all time,      ivan rodriguez.,"['7, set by Guy Hecker']"
786,824c44072fcdfaed180f44c8211305fb,"For which team did Alex Guerrero, who currently runs his own brand management company for athletes including American football safety Tyrann Devine Mathieu, and a football offensive and defensive lineman sign for as an undrafted free agent in 2006?",      New York Patriots.,['Kansas City Chiefs']
787,43b1bcbb391a908b0554a72e2c71c822,What film was directed by a British film editor and was a 2010 British-American fantasy film distributed by Warner Bros?,      	Harry Potter and the Deathly Hallows: Part 1.,['Harry Potter and the Deathly Hallows – Part 1']
788,630439fb8376120d339cd16bf1bbfefb,is devil's food cake the same as chocolate,      	Yes.,['no']
789,15b7603fe2aac47cffa7b1971f41501c,"What is a United Kingdom-based company which holds the licence to operate the two main vehicle rental brands of Avis Budget Group one being an American car rental company that was founded in 1958 in Los Angeles, California by Morris Mirkin ?","      	Avis Budget Group, Inc.",['Avis Europe']
790,f77f3b0433e1a1072e0f74c5cc09382a,who is the original singer of here comes the sun,   ,['the Beatles']
791,fb2d3948576cdb5e9f78bdc6c26c4d73,who said love means never having to say you're sorry,       Justin Bieber.,"[""Ryan O'Neal"", 'Ali MacGraw']"
792,c73f7c118571e39918454970429399fc,"King Lear is a tragedy written by William Shakespeare, which term designation is given to most tragedies, written by playwright William Shakespeare?",      	Tragedy.,['Shakespearean tragedy']
793,4a7b7cc5cf1e757ca2442c4c6fb10da7,where did the sons of liberty hold their meetings,      	Philadelphia.,['The tree']
794,d8ad48e30fe2afa2d3db88973d6d6653,How many prospective mixed martial arts fighters are secluded in a house during the filming of a television series in which Nate Diaz won the fifth season of?,      	Nine.,['sixteen']
795,2e5031c330cd736999222af623bfefa1,who plays the pirate in game of thrones,      	Arya Stark.,['Lucian Gabriel Wiina Msamati']
796,2d4b773c1875c017041eafd0d55bb725,What Michigan county is named after the Vice President of the seventh President of the United States?,     ..........................................................................................................................................................................,['Calhoun County']
797,2438c32d9ef60f451a7929fae90f02a0,who is the singer of tere sang yaara,      	Lata Mangeshkar.,['Atif Aslam']
798,ab5eea80c1c6fe24f5f0f8da8a7e2bd9,"Paul Robert Potts, is a British tenor, in 2007 he won the first series of ITV's ""Britain's Got Talent"" with his performance of which aria from the final act of Giacomo Puccini's opera ""Turandot""?",      「Nessun Dorma」.,['Nessun dorma']
799,825efe49a7f05b705e1b99866f3892bf,who does creon initially blame for the burial of polyneices,      ents.,['Ismene']
800,4a565a205581dca946e27bc58f545eb2,did oscar de la hoya fight julio cesar chavez,      	No.,['yes']
801,36310167a67404657e5de0acb00e1e94,What name is called by his admirers  who is the music composer and created the music for the Hindi movie Musafir ?,      	Salil Chowdhury.,['Salilda']
802,1c407ef9c53dc3e0a1759002980ac5d8,where does system of a down come from,"      ithaca, new york, usa.","['Glendale, California']"
803,7e671bba747efcc8ebf6801821921230,who came up with the idea of gravity,      ivan Pavlov.,['Aristotle']
804,a65c6b8a72a246b745e9cadb7d713972,The actress that won The Gilded Balloon's So You Think You're Funny award at the Edinburgh Festival Fringe in 2012 is currently a captain on what tv game show?,      	The Chase.,['8 Out of 10 Cats']
805,943bac4bafb1b076b65efe558115489f,what car does reynolds woodcock drive in phantom thread,      elysian phaeton.,['a maroon Bristol 405']
806,e42d2e5733ffd3fa455b3856ff513b10,"The film title with a poster featuring two sliding doors in which Phyllis MacMahon acts also includes what actor who starred in ""A Film with Me in it""?",      	Peter Sellers,['Dylan Moran']
807,e4ffaac01d90f13275077aed0da3ca4e,microsoft live movie maker is an example of free,     ....................................................................................................................................................................................................................................................................................................................................................,['video editing software']
808,dca3d1c16512667d4edfab099b204842,"Pibare Rama rasam is a classical song composed by Sadasiva Brahmendra, was a saint, composer of Carnatic music and Advaita philosopher who lived near Kumbakonam, Tamil Nadu, during which time period?",     ................................................................................................................................................................................................................................................,['18th century']
809,7adcb26fda18602af51a8b9f2061f94f,Is Himachal Pradesh located on the border of the Indian state that is served by urban trams and which features a white building with multiple domes?,       Himachal Pradesh is located on the border of the Indian state that is served by urban trams and features a white building with multiple domes.,['yes']
810,90acd780afb2f818d93001d0bbd39951,Is Himachal Pradesh found on the border of the Indian state that is served by urban trams and which features a white building with multiple domes?,       Himachal Pradesh is found on the border of the Indian state that is served by urban trams and which features a white building with multiple domes.,['yes']
811,a1db6cf4ca22997941004ccb4ea175ff,"What American group was launched in Germany and appeared live from Orlando, Florida for the 1999 Kids' Choice Awards? ",      	The Backstreet Boys,['NSYNC']
812,6c0e2b45e441a9a654614aa5d06a4478,who plays the trans guy on the fosters,     ............................................................................................................................................................................................................................,['Elliot Fletcher']
813,0f0b4253d4f4b8e75740308b6a73619b,"In the television show that features a house on its title screen and Anna Akana as an actress, what is jude's boyfriends name?",      ivan.,['Connor']
814,fe88afc4500ff40bf7776bc5bc4f9046,what is the average depth of the red sea,"      	The Red Sea is a marginal sea of the Indian Ocean, between Africa and Arabia.","['490\xa0m (1,608\xa0ft)']"
