,qid,Q,A,Gold_A,docs
573,9da2f337fcab307fa6e04aa6e0d840fc,where do penguins live north pole or south pole, 	south pole.,['Antarctica'],['9b3375537d6e1f2e5b3707e4dae70ae6']
574,3b29528f6d900ff20bfebd2b938b851f,Which African American artist was a musical guest at the 2003 Sanremo Music Festival?, 	LL Cool J,['Shaggy (musician)'],['9479475632ae0662c1ed2728cbc305b4']
575,94698355ed023a7b0e032be6c320f37f,who sang the song the first cut is the deepest, 	P. P. Arnold.,"['P. P. Arnold', 'Rod Stewart', 'Sheryl Crow', 'Keith Hampshire', 'Dawn Penn', 'Papa Dee']","['a8c59a33db1ec48671176561e24a1309', 'a8c59a33db1ec48671176561e24a1309', 'a8c59a33db1ec48671176561e24a1309', 'a8c59a33db1ec48671176561e24a1309', 'a8c59a33db1ec48671176561e24a1309', 'a8c59a33db1ec48671176561e24a1309']"
576,20663ed2cda1e7dc70e107c5b7ebcbdf,"Which Opera(s), in Repertory of Karita Mattila, has a single old man in scene?", 	La Traviata and Pelléas et Mélisande.,['Arabella'],['f7c8b67792c106cbf37a22f100af1056']
577,401478ab2490bf1de4503d5630f10961,A man with a guitar is shown for which award category that is included among the awards and nominations of Di Genius?, 	Grammy Award.,['Grammy Award for Best Latin Pop Album'],['12125210457429f334fc0a140bb0255a']
578,7208a651a220e321005d76bb27b96318,"David Alan Miller, the Grammy Award winner, is known for conducting which orchestra?", 	The Albany Symphony Orchestra.,['Albany Symphony Orchestra'],"['f7ee9d34407f9aba972f43c85969a560', '551c936abd493197c2aea321d040ff27']"
579,29a94164b22263351cc79f515a5b8e8b,"Which County(s), in Structure by county of Board of chosen freeholders, features a lighthouse that is painted white on its bottom half, and black on its top half?", 	Monmouth County.,"['Ocean County, New Jersey']",['9f08321d6045202732a164c63ff1489c']
580,77ee9cc70aa75030d5bd93397684d0d4,"Which Home Ground(s), in Current clubs of 2013 SANFL season, feature short white picket fences directly outside of the grass playing field?"," 	Adelaide Oval, Glenelg Oval, Norwood Oval, Port Adelaide Oval, Woodville-West Torrens Oval.","['Alberton Oval', 'Glenelg Oval']","['ff963a76fe57d6c2b207f14e6020002d', 'df7ce2ee7f3452b0f87d5b8cacba9d01']"
581,f22ab36d3922efe0a0819cbd0e4bba04,Which Gmina with two swords on its logo is in the Administrative division of Slupca County?, 	Slupca County.,['Gmina Strzałkowo'],['bcc4f90e9079e031f9bb82424cf09147']
582,4266b2178f121bfc3d4ea329b4278d7f,There is a person on the cover for which of Killian Scott's television appearances?, 	The Drowning Man,"['Single-Handed (TV series)', 'Jack Taylor (TV series)', 'Strike (TV series)']","['0c953e6105a376a02dadaaf30a85dd2a', 'fade6578c2a7b689868bc9924ba4af17', '68078dee1c7292da51dfb586b1fed23f']"
583,a8c6be32a981a89d6f99e81de18f0b2a,"In the television show featuring Killian Scott that has a cover showing an alleyway between two buildings, is the actress who plays trixie pregnant?", 	No.,['no'],"['da874625fd5941bc1fa6f677c5e5ad4b', 'ad513a36d8d47541035434a5aa334513']"
584,18d374751a67eab5d836ebc2ac95ce82,There is an eagle on the symbol for which ranks in the dates of David H. Huntoon's ranks?, 	Brigadier General.,['Colonel (United States)'],['1fdf48e68d14c7ec58d27134b73cb05a']
585,c6952949da6dae986391015dee092555,There are large square banners over blue seats at which venue featured in the U23 International goals of Irfan Fandi?, 	Malaysia Stadium.,['Jalan Besar Stadium'],['85507c18d595a0189c52568d99c1d7d1']
586,01a603c81befd9a9a7efa9b696939d04,Which location with a ski-jump like structure was part of the Biathlon World Cup of 2017-18?," 	Oberstdorf, Germany.",['Holmenkollen'],['f69a213927df6e17ff904ebd8174f007']
587,6105bed6e83b2189f0e2fd0fb1092822,"Which Title(s), in Acting credits of Garth Jennings, features two police officers on its poster?", 	Hot Fuzz,['Hot Fuzz'],['b41703e0820229bfb7da27e20b11c66e']
588,583324551c02cbc34e626e49db7842e8,"In the poster for Hot Fuzz, what is in the hands of the person on the left?", 	A gun.,['guns'],['b41703e0820229bfb7da27e20b11c66e']
589,b20fceaefa4d830fde0981101c03e871,"Which From club(s), in Transfers | In of 2010–11 USM Blida season, has a crown in logo?", 	USM Blida.,"['OM Arzew', 'Gimnàstic de Tarragona', 'FC Gueugnon']","['020051b36294d8073dc258183888e9d3', 'bc0f31132e07633316c9fcbfb5eaa0a9', '79fd62106189b2733cec80f01fd641ed']"
590,42503d3b27c422b46cfafc9dec1606cd,"Which To club(s), in Transfers Out of 2019–20 Chennaiyin FC season, feature a flaming torch in their logo?", 	Chennaiyin FC.,['East Bengal F.C.'],['59f04af7ab5ae31aadacf96ddf07ee5d']
591,fa5c85da9af1eaee0398014e9973b03f,There is a baseball on the poster of which movie from the Farrelly brothers?, 	Fever Pitch,['Fever Pitch (2005 film)'],['806998b9231cc4c0aa2daff8dd89fb83']
592,039acb53f661fbfa2dec4d1119d9280e,Which location featuring a statue of a dragon hosted Slovenian Basketball Supercup games?, 	Ljubljana,['Ljubljana'],['a32f46e6902560009e4516a3e91cf6b9']
593,c5d03750f33c49d1f3a324fb35da356a,what opera was Aatos Abel Tapala in that was originally wrote by Hugo von Hofmannsthal? , 	Elektra.,['Elektra'],"['1fd806d4b1d8c46ca133ae08ce985e20', '75feee2ee498ab22ed129b89c85c512b']"
594,f5baf74fcfa9a78853ad9a449f2bb560,"Which Class(s), in Current  |  Locomotives of Israel Railways, has a yellow painted section surrounding the windscreen?", 	Diesel Locomotives,['Israel Railways JT 42CW'],['b090ca1027cf43d3e6c99905ebe6acb7']
595,b9bb7317843e3a053bb101a2db060418,who committed the first act of war in the 1967 six day war conflict, 	Egypt.,['Israel'],['4b368a8129069cee2585602334511b11']
596,3c0143a60a930c43ca2511beaa21d083,"Which Title(s), in Filmography | Film of Stephanie Che, features exactly four people on its poster?", 	Answer the following question and output only the answer.,"['Clean My Name, Mr. Coroner!']",['6bcfa0b07c9d7e6a7e9d3f1eee20cfaa']
597,f73b42fc1614ab2a6db8fa5e84c83825,There is a fire explosion on the poster for which film that Ahmed Khan was a choreographer for?, 	Rocky Handsome.,['Kick (2014 film)'],['03d804c0b1c21317413605052d8d4a8d']
598,fe0d70e04db2b4c90de103ca74c64e2a,There circular headlights above the radiator grilled on which model of the 1275 Plus of the BMC A-series engine?, 	Morris Mini.,['Mini'],['01af2a62787bbc3530b0b02d3b007a01']
599,14f49a6306b7b12ca89db44d501f340d,"What hydroelectric dam located on the Little Tennessee River in Swain and Graham counties, North Carolina, United States is home to MINIs on the Dragon is an annual gathering of MINI Coopers in Robbinsville, North Carolina? ", 	Fontana Dam.,['Fontana Dam'],"['9ef7f0736ecdc88c3b66dbc8952a2a0a', '6d3285e477375b09ab21d951a0d76b05']"
600,bd64e78ce84c165036e043f4cb972517,Which governorate in the northernmost region has a Tunisian postal code?, 	Tunis,['Bizerte Governorate'],['97410139153e67ea275c1bd8e01b25b7']
601,f478685d0f6ad2e2ab3d1e99b5fd309b,There is a long pier in a horseshoe-shaped inlet in which location included in the Teams of Toppserien in 2015?, 	Haugesund,['Grimstad'],['234225d797402bf88f7099b75590d3e7']
602,ff8276dfed9137428bdd9b9bc3018643,"Of the American movies from 1973 that can be found alphabetically between T and Z, which one features a female gymnast on its poster?", 	Visions,['Visions of Eight'],['0cb86d818dbda3a4a65dd300513fa653']
603,b48de65a73cacd10db504cbd9ec5d4f6,Who produced the film that earned Robert Wise a nomination for Best Film Editing in 1941?, 	Orson Welles.,['Orson Welles'],"['433b2a51ca26755057e96df2b299290f', 'a2cbdae499687ca26ffff41e9e3e0749']"
604,233bc4da889eacede85b52b99e0a7cbf,"Which Original artist(s), in Covers of Deftones discography, has a mustache, beard, and long hair that reaches to his shoulders?", 	John Lennon.,['John Lennon'],['d5bca06b976791c90ef1a6be2d67e64d']
605,095fc3a41d77542e31001da8c68fd350,There is a flag with a roaring lion on it for which team that is included among the stadiums and locations of the 2017-18 I liga?, 	Legia Warsaw.,['Miedź Legnica'],['c8d8e51c58e15c31cd0c91e1ca6e6cd5']
606,9bb02423d6e36d42259f76b72091fce4,"Which Club(s), in Top goalscorers of 2012 1. deild karla, logo has a downwards pointing arrow on it?", 	1. deild karla.,['UMF Tindastóll'],['efd88ee5d64c2bc8028a9745ebd2121d']
607,2f8a8e821090ab33f5bc5bfb2ee229b7,There is a man with crossed arms on the logo of which champion in the Top12 Finals?, 	The Crusaders.,['Rugby Calvisano'],['cddc3caf6a7051085a4d207cc038594f']
608,e7d29c89e069c81b687873e30eed5795,"Which Title(s), in Television of Richard Quine, have books on the title screen?", 	The Man from U.N.C.L.E.,['Catch-22#Adaptations'],['2d059ab743632f9c112b63ab8a48b86d']
609,0652242c07ad1e2897e55c1dff67214c,Which driver that is giving the shaka hand gesture won the 2011 Indy Lights race?, 	Gabby Chaves,['Gustavo Yacamán'],['ff32c43ae3cf705e9a5fd4660d09ede8']
610,f21c556fb04ba45ee826e500fb103bfd,can you buy alcohol on your 21st birthday in kentucky," 	No, you cannot buy alcohol on your 21st birthday in Kentucky.",['yes'],['63e672e09dd16f0426c6aec2ccb5499c']
611,b9d69883fd73002805944cb7a413cbfc,"Charles ""Charlie Red"" Hardnett, is a former NBA player, he coached at Coppin State College (Baltimore) from 1970 to 1974, and at Morris Brown College (MBC), a private, coed, liberal arts college located in the Vine City community of Atlanta, Georgia, in which country?", 	United States.,['United States'],"['789898ec5b33423e1615353787931501', '9a1ed9cdfe6c82a2892c8cc0a5735dda']"
612,b827208a28267aa81cdacbc85a9b404b,Which player seated at a table was on the Indonesian squad in the Thomas & Uber Cup of 2012?, 	Taufik Hidayat.,['Mohammad Ahsan'],['a831b526ffd6f4986e1274cfdbcbb2b7']
613,183ac7b6dc46d545415e7640236ca9c3,Which teams with a soccer ball on their logo had top goalscorers in the 2019 Balarusian Premier League?, 	BATE Borisov.,"['FC Gomel', 'FC Isloch Minsk Raion', 'FC Energetik-BGU Minsk', 'FC Minsk']","['43dec0d16ddee0ccf9d4f89889ab49ba', '9a50fbe372ce008106733aecc8fa04c8', 'befb42ee2ca33333849f365ea0bf98f0', '2514fca60e003a3d224b438ecb90787e']"
614,10b619ebb7a744b4e69c80aca01c60f8,There is a torch on the poster for which title included in Buddy Van Horn's filmography?, 	Cleopatra,['Spartacus (film)'],['2ffdf72a64c5af752c68c730bf0e1f3d']
615,6661cc5629e134acc2f25e3a3c328774,who is the actor who played spartacus in spartacus blood and sand, 	Andy Whitfield.,['Andy Whitfield'],['f8bc343d57c35a09050f4840fdf09aed']
616,0354c8fdf5dd359d6b1cd4d24b934724,The team with a bandana on their logo in opponents in Season Schedule of San Diego Surge has what name?, 	San Diego Bandits.,['Bay Area Bandits'],['b403ab74743d1500eb04ae88754227d5']
617,5253155f88aad055d1e69a07cfb4d19a,Which African player left South China AA in the 2013-14 season?, 	Samuel Eto'o,['Mamadou Barry'],['8e457f0009b6389d838591509c62deaf']
618,9eaf685adaccf2218cc3d8fcf8797d09,Which railroad with a shield-shaped logo was an original owner of GE C30-7?, 	Union Pacific.,['Union Pacific Railroad'],['dcf9fc47604c0a326a57800c8f30c177']
619,92e230ab26461be5c316b5c75de9b4f6,The railroad in Original owners of GE C30-7 that has a shield-shaped logo and the central pacific railroad meet where?," 	Sacramento, California.","['Promontory, Utah']","['3f0eca81d27ba5d57e4f27814a60cf04', 'dcf9fc47604c0a326a57800c8f30c177']"
620,8f175a0cb4fa6ff5d62cb680638c98eb,The railroad with a logo shaped like a shield that original owned the GE C30-7 was owned by who?, 	Union Pacific.,['Union Pacific Corporation (NYSE:\xa0UNP)'],"['ac170a0a58d67e79cbccbd0ca6265c1c', 'dcf9fc47604c0a326a57800c8f30c177']"
621,c121e02822312ee1f52fc7f6945185b2,"in Original owners of GE C30-7, who directed the movement of the railroads hat have a shield-shaped logo west?", 	GE.,['its dominant stockholder Dr. Thomas Clark Durant'],"['f77061b803f3454d53e2d5800f6892df', 'dcf9fc47604c0a326a57800c8f30c177']"
622,8147f241b8ac2491e9af34225eaceef0,"When looking at a list of original owners of the GE C30-7, which railroad possesses fewer of these locomotives: the railroad whose logo is in the shape of a shield, or the railroad that was chartered in February of 1859 and which serves the Santa Fe Railway Depot in Galesburg, Illinois?", 	The railroad whose logo is in the shape of a shield.,['Union Pacific Railroad'],"['404e9cbfe0af5efca324e1cd6e857cde', 'a232e2b8e2d3283a197cda0a4c945e6b', 'dcf9fc47604c0a326a57800c8f30c177']"
623,071e853529d4cf013ce00dbec33c0714,"Which Club(s), in Top scorers of 2009–10 Taça de Portugal, have a cross on their logo?", 	F.C.,"['F.C. Paços de Ferreira', 'C.F. Os Belenenses']","['bd71ccbc58a333531228d4b640c3b98a', '45f9b940c40fd7827df05194e2537973']"
624,c163e4528b6b69d973e3f849ca65c8e6,Who has short hair among the winers of the 2016 BWF Super Series of the women's singles?, 张磊.,['Akane Yamaguchi'],['11cefa5d3312f75c08d7a035c121259f']
625,dc64d8f4e349a24f318857ee1fafb533,What country are K. R. Kaushik and Narendra Modi from? , 	India.,['India'],"['149bbafc3948e06136e7bf0348286a5c', '958400b46fbe1cb129448273ead8a587']"
626,5f86001492f85da64e885919fa80b29d,Which spouse is riding a horse in House of Ivrea of List of Castilian consorts?, 	Isabella of Castile,['Alfonso XI of Castile'],['b07d1ad0df418ae466a2713937dd43ba']
627,2f88ca827fe5c28f8c1dc4cc011e7141,John of Arsuf was the regent of Jerusalem under which memberof the Hohenstaufen dynasty?, 	Frederick II.,['Conrad'],"['3cb0e70761e6800167dc5cef6f3c839d', '667095af2453faaf235303c5c70be63d']"
628,106b7b0c9e2e066ff3f3d29e195a3d6c,where is barcelona located on a world map, 	Spain.,"['on the coast between the mouths of the rivers Llobregat and Besòs, and bounded to the west by the Serra de Collserola mountain range']",['fd293d3d0b12108f4c52699a663cca71']
629,f7424f97261f178f551b2d644d365929,"Of the players who led the 2016 New York Red Bulls season in assists, which players are African American?", 	Derrick Etienne Jr.,"['Kemar Lawrence', 'Bradley Wright-Phillips']","['a35317aae25339fbcf6c6f7562c1275e', '961e63565d6fa3f82587af1ab4533824']"
630,a0a739db3dba771f1c2c63a842441a1d,"Which Player(s), in Squads of 2011 Indian Premier League, has a beard?", 	Sachin Tendulkar.,"['Murali Vijay', 'Lasith Malinga', 'Harbhajan Singh']","['3296ff8eec6f6d92f7d614a6fa2686b1', 'f64dbae970906afbec437836d5f506d8', '33c0df0b600669c286773e9f793cd8b7']"
631,cdb1ab5b6d8e115282dca0edfb7b2930,There is a car on the cover of which title in the studio albums of Matthew Good's discography?, 	Arrows of Desire,['Arrows of Desire'],['7f3ddce74331a9db6e4f183263d5a2c8']
632,726e579ef4712fec87440ef710681c9b,Which club has a ball in its logo of the top try scorers in the 2015-16 Top 14 season?, 	Stade Toulousain.,['SU Agen Lot-et-Garonne'],['538a442fc1845445653db3acecc7d534']
633,f0899749ff926327747aa68a91a75326,Which player of East-Asian descent was a singles winner in the 1997 ATP Super 9 in the ATP Masters Series?, 	Patrick Rafter,['Michael Chang'],['0090dfa282dccb78c80f093c7dc39dbb']
634,2cd38c28acd439d9ae2e692bcd193b19,"In the 1999-2000 FA Premier League Top Assists, which player has a bald head?", 	David Beckham,['Thierry Henry'],['7070e97120dc77d96364d39d0001a03e']
635,df1baba3c38afb8cb6574f05de962c94,Which player with top assists in the FA Premier League of 1999-2000 has a higher rank:  The player with a bald head or the best player that ever played in the premier league?, 	The player with a bald head.,['Ryan Giggs'],"['8737860d6958627e14d5b9ea734a7792', '7070e97120dc77d96364d39d0001a03e']"
636,96597594de81ec3714c1a28fda0bc227,Which red-haired player was a top scorer in the 2013-14 Eastern SC season?, 	Junichi Inamoto,['Leung Kwok Wai'],['6e16dbe28c3002bde314ceb62e6254c2']
637,4af3ba37f79b62cab3c02c9c9e4f3fa7,There is a building with three arches at its entrance in which community areas in the demographics of the West Side of Chicago?, 	The Auditorium Building.,"['Austin, Chicago', 'East Garfield Park, Chicago']","['6feb6e208adc609cb1a6c419bc6ad668', 'c9fcc4acf1e31cd04ecbeae23ac75572']"
638,3daf794bb11c515845a01bd714aa625b,who is the father of bree's baby, 	Austin.,['Austin'],['dd762b916a62213422f226e5d0c94fa7']
639,3188bda2a7d82a68f6c2037fdeed846c,There is a bird on the logo for which away teams in the fourth round of the 2008 FAI Cup?, 	Bray Wanderers.,"['Bray Wanderers A.F.C.', 'Sporting Fingal F.C.']","['570fbfa9c0fe4741b3366d30f683d5b6', '8378325b7bf8a3a8483d3d86a1fe60fb']"
640,c3bcf58405d53cdcc9b034c44541e99f,Which actor that wears eyeglasses is on the list of iZombie main characters?, 	Rose McIver.,['Aly Michalka'],['f7a2d762a4bb84f5d75a7c13c43665ee']
641,e848d9882a58ac8905fe5d71eab8cec9,There are two moose on the crest for which municipality in the external links of Indre Østfold?, 	Oslo.,['Aremark'],['caed092679d3ad8270df472e553f51bb']
642,7800141292d95a683a3aa9d8c82f70fb,There is a dolphin on the logo for which teams included in the top goal scorers of the 2018 CAF Confederation Cup?, 	AS V. Club.,['AS Vita Club'],['e6bd015a26fe22b61ceb9f5055bb6a9e']
643,3dda1d2269c138cd914cf274cd6da106,What is the common name of the Reed warbler or ally with a yellow underbelly in the List of birds of South Africa?, 	Reed Warbler,['Icterine warbler'],['94347aea2352372355f20e721574666b']
644,c4bf958b6b268f7026de91e8d26da7e4,A trident symbol represents which of the planets in the planets of Doppler spectroscopy?, 	Mercury,['Neptune'],['85d79f8cf36cf568d1303b909b6facd7']
645,3a217e28addcd1ea7e216a5e9f6bed3a,What was the year of birth of the mathematician that is credited with developing infinitesimal calculus and using Jean Picard's measurement of earth to create his theory of universal gravitation?, 	1642.,['1642'],"['190b8219ee3783350d9f3c52b35f2278', '7d77842ea608b6d9ec739524e5ba5401']"
646,080d9354e35fdecfc27575d451ac1b98,"in Planets of Doppler spectroscopy, what happened to the great dark spot on the planet represented by a trident symbol?", 	It disappeared.,['either been covered up or vanished'],"['47c9dc49fb336b0a6f86b86d0383ed3f', '85d79f8cf36cf568d1303b909b6facd7']"
647,1ed8e6d54026ec75d2da69ce75425f98,"Which Gold:(s), in Women's singles of 2015–16 Luge World Cup, has long blonde hair?", 	Anja Huber.,"['Natalie Geisenberger', 'Dajana Eitberger']","['125f12a5b60b0771a0cfde1a3ebd3f65', '5775984d87f0bbb6eccd4cd6b12f49ee']"
648,bfddbcc17188eb47e9a7958430c3cb8f,There are horned animals on which of the earthly branches of the zodiac of thirteen Buddhas?, 	Aries,"['Goat (zodiac)', 'Ox (zodiac)']","['c7c7ae1e4db987a475b83c8404ce5d98', '9f46dda62c0f966e1d2d457e1b6f324f']"
649,8377b85ac302f4bdd5360bd57ad3c9d9,is a mule a cross between a donkey and a horse, 	A mule is the offspring of a male donkey (jack) and a female horse (mare).,['yes'],['b1155d55e31303d51a862f547fd3ec37']
650,321bd4fbdc89df59dcf94a502bd1425b,There is a horse on the logo for which winner in the champions of Eredivisie for women?, 	FC Twente.,['FC Twente Vrouwen'],['9f83a24b7b7f668055bc95b85509f07b']
651,9a6cf44acc5ba711bc6577cf1beb957f,Which UFC events from 2010 have a poster featuring only two men?, 	UFC 112: Invincible,"['UFC 116', 'UFC 113', 'UFC 122', 'UFC 114', 'UFC 115', 'UFC 124']","['21c980ad6bccff0c9c8a48d5221a1f61', '959f8ff73c06439b240e51814872a9e3', 'dbca6c0a04ad3df02670687d14c348c7', 'e9e5ad5be8db8c094069a4b06034212f', '3ad74edc793504de96664dddd2876906', 'a5dea397b6f6263f396fa28741298f00']"
652,55dc90e2bcf722bb4e071dc0d2a7d483,which luxury hotel has a dancing fountain that is the part of the resort that owns 50 percent of citycentre in las vegas, 	Bellagio.,['Bellagio'],"['61de7ff04c33531fc7d82dd7d0162bb9', 'a10b34a2b69ed07c3f2d25b99722e2a5']"
653,69a579385d796e64f7fe363bebf97b1d,when are the oakland raiders going to las vegas,............................................................................................................................................................................................................................................................................................................ ,"['March 27, 2017']",['9979328fe00d3526c8aa22b32492fec9']
654,c8326ac56343a3a395732b94a4a99995,"Of the most capped players in the national football team in England, who has African heritage?", 	Gary Lineker,"['Ashley Cole', 'John Barnes (footballer)']","['1c2e4a1446e6509f7ab973639dc92450', 'c2253fd033737aaf948105a6dd7d2ccc']"
655,3b0d437b62cc6bb2ce2037dc2908ccd5,Which players from the team whose jerseys feature a rooster had a disciplinary recored in the 2014-15 Arsenal F.C. season?, 	Santi Cazorla.,"['Olivier Giroud', 'Laurent Koscielny']","['0aba94ce585bab43b8a798af3a9cb901', '0d8e2c3e9163a9621c75d32372ea6cf4']"
656,db32e498bb07c9b54a377c89701989bf,There is an anchor on the logo for which runner-up in the yearly results of the Catamount Cup?, 	Lake Superior State University.,"[""Lake Superior State Lakers men's ice hockey""]",['8c21ecba52650c1889490b9f6116a1fd']
657,ef97a6ca116a226b8e2e1deaba4b5004,"Which Champion(s), in Yearly results of Catamount Cup, logo has an anchor in it?"," 	Champion(s), in Yearly results of Catamount Cup, logo has an anchor in it.","[""Lake Superior State Lakers men's ice hockey""]",['8c21ecba52650c1889490b9f6116a1fd']
658,21943c11e79b7f2fdad7fe97f5319132,Which drivers have short blonde hair in the entry list of the 2019 Rally Australia?, 	Sebastien Ogier and Thierry Neuville.,['Esapekka Lappi'],['e1fbb4bddf6f1a34f022369df88f65c0']
659,3f8018a3d5247b1860fdd79ed1423f10,"Which Team(s), in Individual game highs of 2016–17 EuroLeague, have a man's face on their logo?", 	Olympiacos Piraeus.,['Olympiacos B.C.'],['3b4533839f3472ae1d91c26c3cb6783f']
660,a1c1cfe40f268b473b8014e1fc6187f1,Who is wearing a necktie of the actors who have won the Santosham Best Actor Award?, 	Rajinikanth,['Chiranjeevi'],['a112b5d7c1799c30a54af22fa0999e5b']
661,3444052221c1104c977a4653988d44f1,There is a train on the poster for which title in Nona Gaye's filmography?, 	The Polar Express,['The Polar Express (film)'],['aca4b7bca4aec02c58cb9b406ad9546e']
662,c900515e6697b67c56c6b8b106070ce9,There are rocky mountain peaks around a lake at which location that is listed as a department in the 1985 Bolivian general election?, 	La Paz.,['La Paz Department (Bolivia)'],['a005f73b5f519575322098ed6bf7b9f8']
663,f274c4ee4d14c8f86d19295f7cdf0f50,Which player who plays for a team with a logo featuring a lightning bolt made goals for the Calgary Flames?, 	Joe Nieuwendyk,['Gary Roberts (ice hockey)'],['e5015e2a5270e374d5a447bc0416dfcf']
664,39d1230b9456528d49ced799393985d3,There is a flaming torch on the logo for which team that is listed in the scoring leaders of the QMJHL 2013-14 season?, 	Gatineau Olympiques.,['Gatineau Olympiques'],['e35d3695a11faabf48693c565009664d']
665,38cef4a0c3db317df04bc8f674ee27f9,"Which Circuit(s), in Schedule of 1974 IMSA GT Championship, took place on a track that is shaped like a violin case?", 	Watkins Glen.,['Road Atlanta'],['0c2e041adb51be82e5d52f2d1adbaaa4']
666,6e7ce1d17d1baa8e849f29dd56fd09de,the primary colors of pigment are cyan yellow and magenta true or false, 	True.,['no'],['24fde863debcf9c9d9d90044ff990e96']
667,b56adcdcb8bf4fa9fd52fa7695df24d9,What award earned by athletes at a university and some schools did Charles Hooman earn?, 	Blue.,['Blue'],"['bf61a45648aa5d8c16a7fddce08eba0a', '844f85d000320cddf6742d33ee84db64']"
668,e0deff81aa1d06d3ddc5800266aea781,What yellow assistance item is located just inside the door of the Gillig Low Floor?, 	The yellow assistance item is located just inside the door of the Gillig Low Floor.,['handrail'],['17726b687f67c2d4bfcfe90a21674919']
669,0143eb8d4dd378d8d7dbe275c5552858,What is the silver thing that is latched onto the tank in Diesel fuel?, 	Diesel.,['lock'],['74fcd61e28f852ab05a894a50a199683']
670,e54a09043c4aae1aa1419aba4e72e771,What type of person does Prime Minister of Hungary and Viktor Orbán have in common?," 	He or she leads the majority party or coalition in the National Assembly, and is also the chairperson of the cabinet.",['leader'],"['23f2be94ad8a45070d742ec51017852f', 'efdc75b37061500e2556521e48c8b5de']"
671,a07677b3623a49f60974ff255758f1eb,who did not have a brain in the wizard of oz, 	The Scarecrow.,['Scarecrow'],['0906cf24fb3ddfa4a687384733042d07']
672,f0fbe1bc39e776d8eff1e44aff53b0d6,"Games for Windows – Live or GFWL (trademarked as Games for Windows – LIVE) was an online gaming service used by ""Games for Windows""–branded PC titles that enables Windows PCs to connect to Microsoft's Live service, some games allow for cross-platform play, such as which first-person shooter video game, developed by FASA Studio for Xbox 360 and Windows Vista?", 	Shadowrun.,['Shadowrun'],"['e31b48b880efeab0c9ebefea74b1b1b6', '73a2c3d1093f805feb039c603082c04d']"
673,65bdc87446b7add98730bbd761375927,UROVESA is best known for the production of what High Mobility Multipurpose Wheeled Vehicle?, 	Humvee.,['Humvee'],"['770095ff3c284cdd206fd4912492b969', '6b5993243af865090ef8523c16433268']"
674,6e61b72ec7af864bbfd68fecb22b8ae0,is there a sequel to the dark knight, 	The Dark Knight Rises.,['yes'],['0e4df23e4ef12435df0fd838bd524da2']
675,d773cd8663f29f3b37171de9f2229574,when did the cubs win the world series, 	2016,['2016'],['b414fd316c6d2a317b0d6955bcbd964a']
676,5737efac5151d2e447180b5f81cde6db,where does the eurostar go from in london, rome.,"['Marseille', 'Lille', 'Brussels', 'Paris', 'Lyon', 'Avignon']","['6e69cd009b2c6d6fcb4cfe8546d7804e', '6e69cd009b2c6d6fcb4cfe8546d7804e', '6e69cd009b2c6d6fcb4cfe8546d7804e', '6e69cd009b2c6d6fcb4cfe8546d7804e', '6e69cd009b2c6d6fcb4cfe8546d7804e', '6e69cd009b2c6d6fcb4cfe8546d7804e']"
677,116448def46190bea57cfcf95f58b35d,In what year was the National Hockey League team founded tht Karl Friesen played for?, 	1974.,['1974'],"['750863bffa5f641d0d28a3ad4aa8fdc0', '6e31a3708a0cbe9a725a4f10a053fcab']"
678,01f5dfc6c899a74d8d79e7cbf8d30f8d,how many times did west indies won the world cup, 	5 times.,['twice'],['405a5dfc46e1f783342fc0b7f76d2a26']
679,00c6daf76670c32dccf8effff5b552a7,who sings are you gonna go my way, 	Lenny Kravitz.,['Lenny Kravitz'],['8248dcaaf7df165a442347df1e97b7e1']
680,3fd7133d8fdb3041e623eadfaa227d2d,who does kp play for in the big bash, 	Melbourne stars.,['Melbourne Stars'],['0d5ad69237b3264fc7f78b17585e2c10']
681,18969f961188c4fb21d1d700f438bb27,i'm a celebrity get me out of here australia host, ian thorpe.,"['Julia Morris', 'Chris Brown']","['335986f45c8724492e9492f298f775a7', '335986f45c8724492e9492f298f775a7']"
682,57e138f5cd33f06920fba3e7f9f6bec4,"Wilma Glodean Rudolph, was an American sprinter from Clarksville, Tennessee, who became a world-record-holding Olympic champion and international sports icon in track and field, due to the worldwide television coverage of the 1960 Summer Olympics, Rudolph became an international star along with other Olympic athletes such as which American former National Basketball Association player who played for the Cincinnati Royals and Milwaukee Bucks?", 	Oscar Palmer Robertson.,['Oscar Robertson'],"['ae47f8eb3d9f7d2af77c19f66a3204b6', '5d7b56dcfa1672b6d13b7af06c6b476a']"
683,4e007d4e1c2a4c6ce5c214237a17d576,is the et ride still at universal studios hollywood," 	E.T. Adventure is a dark ride featured at Universal Studios Florida, and formerly, Universal Studios Hollywood and Universal Studios Japan theme parks. The ride is based on the movie E.T. the Extra-Terrestrial.",['no'],['6dc844f17adc715497be177539aed0ec']
684,606ea4acfeb1ae629c0165ff83f5b086,"The composer of the opera ""The Zoo"" has composed how many major orchestral works?", 	8.,['13'],"['7f3bfe22138e03769b8f28e3d438bfc3', '89a330b43fd46e3cc17e14465633cf3b']"
685,4844cfb8e6e674c71eb48249a108a635,when was the last time united won a trophy,..........................,['2016–17'],['5b85b2aeded2bfc01d42838cf6dcf14f']
